Time[a.u.] 	 S 	 q[0] 	 p[0] 	 Q[0].re 	 Q[0].im 	 P[0].re 	 P[0].im 
40 	 1.0233909217828951 	 14.513155113395763 	 0.22748249273588309 	 -2.6247563465318602 	 -3.0327424451247857 	 0.28660168222310389 	 -0.049837354865589184 
42 	 1.0569828056256059 	 14.95927479908605 	 0.21866085396807833 	 -2.042016862126133 	 -3.1204524114309153 	 0.29536120107258357 	 -0.038363751702005212 
44 	 1.0829432523691291 	 15.387948562918481 	 0.21006036074114146 	 -1.4459176662637367 	 -3.1880661453523289 	 0.30020816596133504 	 -0.029681157192885482 
46 	 1.1018039294635456 	 15.799729390879937 	 0.20177758072274646 	 -0.84287200064925361 	 -3.240718740009449 	 0.30251117933062338 	 -0.023308820397101911 
48 	 1.1141174159209521 	 16.195293504610948 	 0.19384559070195242 	 -0.23687347095297517 	 -3.2824634471993588 	 0.30330105840709071 	 -0.018682388804588605 
50 	 1.1204139687049153 	 16.575344693633912 	 0.18626244971723405 	 0.36977741798377395 	 -3.3162821709429804 	 0.30324974395044474 	 -0.015311154577158571 
52 	 1.1211824790779843 	 16.940563054480993 	 0.17900873184602303 	 0.97583674123732189 	 -3.3442982840349282 	 0.30275980259910518 	 -0.012829080703680204 
54 	 1.1168651604803674 	 17.291581899612503 	 0.17205841329135907 	 1.5806821677543326 	 -3.3680210490111788 	 0.30206507179590292 	 -0.010983561612735197 
56 	 1.1078591873888062 	 17.628981034713807 	 0.16538464383920176 	 2.184053063221294 	 -3.3885423379832154 	 0.30130264952485586 	 -0.0096045214352809532 
58 	 1.0945210808343879 	 17.953287998131781 	 0.15896224015021587 	 2.7859033277544074 	 -3.4066722140128118 	 0.30055504766289376 	 -0.0085762235237869661 
60 	 1.0771716780128981 	 18.264982360032697 	 0.15276846418463422 	 3.3863173419397943 	 -3.4230265669979927 	 0.29987294642336143 	 -0.0078176554817429959 
62 	 1.0561007883728073 	 18.564500718963458 	 0.1467830569920632 	 3.9854598374868959 	 -3.4380833116369041 	 0.29928752570112871 	 -0.0072702896718759447 
64 	 1.0315712667365065 	 18.85224145418151 	 0.14098801225078814 	 4.5835445724999646 	 -3.4522193233342131 	 0.29881753060159311 	 -0.0068906613199163609 
66 	 1.0038224902785502 	 19.12856894879647 	 0.13536729315006935 	 5.1808141163481327 	 -3.4657356269614539 	 0.29847359435468601 	 -0.0066457836334322352 
68 	 0.97307330846329843 	 19.393817255912992 	 0.12990656454247193 	 5.777526598188226 	 -3.4788751988327391 	 0.29826101444334585 	 -0.0065101986613875003 
70 	 0.9395245492308737 	 19.64829326241308 	 0.12459295947212658 	 6.3739469921363732 	 -3.4918359192742212 	 0.29818158560334407 	 -0.006463996504322036 
72 	 0.90336115702504738 	 19.892279421493779 	 0.11941488089282158 	 6.970341420432181 	 -3.5047802096012521 	 0.29823482768569187 	 -0.0064914355205076147 
74 	 0.86475402587223005 	 20.126036120360432 	 0.11436183426093935 	 7.5669734863464457 	 -3.5178423273684705 	 0.29841881456957936 	 -0.0065799539625499741 
76 	 0.82386157904730073 	 20.349803739763136 	 0.10942428597850747 	 8.1641019804545039 	 -3.5311339665547208 	 0.29873073620929308 	 -0.0067194468679930112 
78 	 0.78083113713660879 	 20.563804452469537 	 0.10459354320218703 	 8.7619795191319927 	 -3.5447486074072483 	 0.29916728043976876 	 -0.0069017281527133777 
