Time [a.u.] 	 S 	 q[0] 	 p[0] 	 Q[0].re 	 Q[0].im 	 P[0].re 	 P[0].im 
4.75 	 0.46994707590537316 	 -0.18810965386447251 	 -4.9965226797338946 	 -0.51671101374584549 	 -0.29434614844241641 	 2.9438294631070616 	 -0.25835550687292208 
5 	 3.4003929559534902 	 -1.4184108160773568 	 -4.7946517573199801 	 0.26013764847845466 	 -0.31081239219130369 	 3.1085124859737898 	 0.13006882423922708 
5.25 	 5.4982972547977784 	 -2.5605213326137042 	 -4.2946701398384892 	 0.95778515790832397 	 -0.23264911995767523 	 2.3267820473326735 	 0.47889257895416099 
5.5 	 6.2500156422686297 	 -3.5434297145976368 	 -3.5276645203492181 	 1.3638267076494408 	 -0.083653814740617505 	 0.83664272774714454 	 0.68191335382471929 
5.75 	 5.4714997383606612 	 -4.3060229728545734 	 -2.5413239886797219 	 1.3546394426093911 	 0.090810616540510841 	 -0.90821969286671833 	 0.6773197213046942 
6 	 3.3533589432307203 	 -4.8008863590817317 	 -1.3969749302177221 	 0.93302050494139999 	 0.23762697166638352 	 -2.3765667875122798 	 0.46651025247069894 
6.25 	 0.41419222753669599 	 -4.9972514096870624 	 -0.16576801668764721 	 0.2273354199686248 	 0.31209574388333383 	 -3.1213476072842559 	 0.11366770998431219 
6.5 	 -2.6263840183211853 	 -4.8829089956897986 	 1.075745634677826 	 -0.54756389615382683 	 0.29154427261621713 	 -2.9158072020624366 	 -0.27378194807691281 
6.75 	 -5.0239246115985869 	 -4.4649684335195268 	 2.2503740782948691 	 -1.1557526570850147 	 0.18222963070895903 	 -1.8225241226049229 	 -0.57787632854250592 
7 	 -6.1914232085043235 	 -3.7694154584896165 	 3.2850840013189755 	 -1.4120625441901382 	 0.017433604581191784 	 -0.174357840541988 	 -0.70603127209506689 
7.25 	 -5.8430331023454656 	 -2.8394965442414408 	 4.1155416189502123 	 -1.2384577996691575 	 -0.15267023296206536 	 1.526893191269566 	 -0.61922889983457685 
7.5 	 -4.064053037594892 	 -1.7330300241836321 	 4.6901126707361387 	 -0.68779388668577279 	 -0.27629230010909583 	 2.7632684096421714 	 -0.3438969433428854 
7.75 	 -1.2900429319510698 	 -0.51881119775787354 	 4.9730728154141994 	 0.072274812683181061 	 -0.31579479131294075 	 3.1583427059676588 	 0.036137406341590642 
8 	 1.7998172522864555 	 0.72766506353504001 	 4.9468288158368541 	 0.81033882139705071 	 -0.25915083210965384 	 2.5918323001340604 	 0.4051694106985248 
8.25 	 4.4490158069693662 	 1.9288982605041167 	 4.6130124103140684 	 1.3016881804471205 	 -0.12360616487440181 	 1.2362161757659915 	 0.65084409022355905 
8.5 	 6.008931239755996 	 3.0102009118865141 	 3.9923788581873425 	 1.3967273357519778 	 0.049571466323626599 	 -0.49577663531568078 	 0.69836366787598747 
8.75 	 6.0976387326094592 	 3.9043422986858194 	 3.123516467632403 	 1.0665207960254512 	 0.20765663665908701 	 -2.0768259698371039 	 0.53326039801272418 
9 	 4.6934194202922717 	 4.5557285793054048 	 2.0604473416666336 	 0.41160279289286722 	 0.30251895130637479 	 -3.0255677090273827 	 0.20580139644643317 
9.25 	 2.1400779694347105 	 4.9238593740093535 	 0.86926851759054335 	 -0.36863123381875779 	 0.30527675964414419 	 -3.0531492400964613 	 -0.18431561690937848 
9.5 	 -0.93723348125866579 	 4.9858459032491877 	 -0.37595766072428854 	 -1.0366322990761432 	 0.21509042311636528 	 -2.1511731278046349 	 -0.51831614953807004 
9.75 	 -3.7850756163312895 	 4.7378341129138306 	 -1.5978084188361015 	 -1.3890217118449755 	 0.05941795043913612 	 -0.5942537861146272 	 -0.69451085592248551 
