itr 	 pos_up 	 pos_down 	         mom_up 	 mom_down 	 ke_up 	 ke_down 	         e_up 	 e_down 	 mass_up 	 mass_down 
550 	 -4.4896551766952308 	 -nan 	  4.0008113711124871                             	 -nan 	 8.0281424846676774 	 -nan                             	 8.7351301911642256 	 -nan 	 1                             	 0 
600 	 -3.989551047876621 	 -nan 	  4.000863535352976                             	 -nan 	 8.0283587671141028 	 -nan                             	 8.7351301989312233 	 -nan 	 1                             	 0 
650 	 -3.4894354871939779 	 -nan 	  4.0010103074496977                             	 -nan 	 8.0289690961953841 	 -nan                             	 8.7351302207036845 	 -nan 	 1                             	 0 
700 	 -2.9892878224465864 	 -nan 	  4.0014214404945543                             	 -nan 	 8.0306833143632801 	 -nan                             	 8.735130279862112 	 -nan 	 1                             	 0 
750 	 -2.4890510726613146 	 -nan 	  4.0025507589408358                             	 -nan 	 8.0354009042579211 	 -nan                             	 8.7351304252826214 	 -nan 	 1                             	 0 
800 	 -1.9885767824543548 	 -nan 	  4.0054729117605516                             	 -nan 	 8.0476038350129375 	 -nan                             	 8.735130690903965 	 -nan 	 1                             	 0 
850 	 -1.4875940357107671 	 0.075534380639383739 	  4.0119832109127076                             	 4.8847642912037994 	 8.0746418917730374 	 11.935644186310146                             	 8.735022922337766 	 11.433186370160094 	 0.99995999999999996                             	 4.0000000000000003e-05 
900 	 -0.9863800474514427 	 0.24473190940354181 	  4.0226631513368707                             	 4.7231158226100547 	 8.1183438244428725 	 11.159558480942611                             	 8.733566758794149 	 10.640273916736412 	 0.99917999999999996                             	 0.00081999999999999998 
950 	 -0.4850455073225779 	 0.35866905243178387 	  4.0336150026558109                             	 4.5664192827756702 	 8.1618172944758669 	 10.435056209128689                             	 8.7304380603384377 	 9.9002386636244974 	 0.99599000000000004                             	 0.0040099999999999997 
1000 	 0.018099818793800154 	 0.55028158263126203 	  4.0378639835520262                             	 4.4676552485942027 	 8.1767081777154527 	 9.9903777995807541                             	 8.7282599575134991 	 9.430548928515547 	 0.99021999999999999                             	 0.0097800000000000005 
1050 	 0.52295856297214727 	 0.9858874574618437 	  4.0326864717803597                             	 4.454051969947316 	 8.1536397302372947 	 9.9300475176159733                             	 8.7282475779090323 	 9.3154007296684753 	 0.98828000000000005                             	 0.01172 
1100 	 1.0264795676629903 	 1.5325563617340294 	  4.0221344618578598                             	 4.4626709580252424 	 8.1105279330390729 	 9.9683382041312285                             	 8.7283325866665606 	 9.3029117291785219 	 0.98816999999999999                             	 0.01183 
1150 	 1.5285984667172847 	 2.0908116287595973 	  4.0122216516498765                             	 4.4685824899392799 	 8.071362085251863 	 9.9942659257807378                             	 8.7283328929690303 	 9.3029121471684793 	 0.98816999999999999                             	 0.01183 
1200 	 2.0296775121216037 	 2.649554362912915 	  4.0056279771615113                             	 4.470917830544046 	 8.0458951375727068 	 10.004489836025398                             	 8.7283328079346063 	 9.3029124533785126 	 0.98816999999999999                             	 0.01183 
1250 	 2.5301543370802948 	 3.2061099326813598 	  4.0020666067529937                             	 4.4711670771311285 	 8.0323725241249981 	 10.005715338026263                             	 8.7283540780378353 	 9.3006380547035992 	 0.98816000000000004                             	 0.01184 
1300 	 3.0303195871000139 	 3.7621907926382754 	  4.0003755391754963                             	 4.4707231416592119 	 8.0260340216159616 	 10.004011084508251                             	 8.7283826141444223 	 9.2977655738967115 	 0.98814999999999997                             	 0.011849999999999999 
