itr 	 pos_up 	 pos_down 	         mom_up 	 mom_down 	 ke_up 	 ke_down 	         e_up 	 e_down 	 mass_up 	 mass_down 
550 	 -4.4896537485275134 	 -nan 	  4.000823126648708                             	 -nan 	 8.0281909980456625 	 -nan                             	 8.5305171921157186 	 -nan 	 1                             	 0 
600 	 -3.9895470459658471 	 -nan 	  4.0008965762693389                             	 -nan 	 8.0284955432283631 	 -nan                             	 8.5305172030751031 	 -nan 	 1                             	 0 
650 	 -3.4894242369918058 	 -nan 	  4.0011034942278281                             	 -nan 	 8.0293560675361206 	 -nan                             	 8.5305172339723132 	 -nan 	 1                             	 0 
700 	 -2.9892560829728203 	 -nan 	  4.0016853192861292                             	 -nan 	 8.0317827849052055 	 -nan                             	 8.5305173194412323 	 -nan 	 1                             	 0 
750 	 -2.4889611344653226 	 -nan 	  4.0033021677600846                             	 -nan 	 8.0385440430018207 	 -nan                             	 8.530517541851701 	 -nan 	 1                             	 0 
800 	 -1.9884076286081676 	 0.19310148228878626 	  4.0075891920020608                             	 5.0145749595326716 	 8.0564910100116851 	 12.576764488476238                             	 8.5303605805903011 	 12.466103987178423 	 0.99995999999999996                             	 4.0000000000000003e-05 
850 	 -1.4909904504788731 	 0.1668089053963259 	  4.0163376610873405                             	 4.757595584499045 	 8.0928374305976334 	 11.323806026416781                             	 8.5236878852281386 	 11.223101257598989 	 0.99746999999999997                             	 0.0025300000000000001 
900 	 -1.0300591971640645 	 0.23913141990630485 	  4.0192794765294062                             	 4.587755440169822 	 8.1035932194611036 	 10.531272022396514                             	 8.4588660279850156 	 10.40282288824729 	 0.96314999999999995                             	 0.036850000000000001 
950 	 -0.67670193943776102 	 0.33999286501016018 	  3.9878397165767492                             	 4.4384942908363598 	 7.9726211361608641 	 9.8604167858492779                             	 8.2440876722920198 	 9.6955338466618777 	 0.80271999999999999                             	 0.19728000000000001 
1000 	 -0.43861458256562985 	 0.51115820817732271 	  3.9160006288889608                             	 4.3296091628098008 	 7.683750711935482 	 9.3870324735221367                             	 7.8942166106410214 	 9.166340457384992 	 0.49997999999999998                             	 0.50002000000000002 
1050 	 -0.2104873543493001 	 0.78242407570970662 	  3.8389587490138148                             	 4.2641279452127039 	 7.3851962681927938 	 9.1106543006078695                             	 7.5693680755499573 	 8.8165543426276187 	 0.2296                             	 0.77039999999999997 
1100 	 0.24738423423436043 	 1.1618879943254874 	  3.8223721599717333                             	 4.2370387758018202 	 7.3324654104923592 	 8.9994936194804929                             	 7.5579093372500843 	 8.6290976386667602 	 0.092369999999999994                             	 0.90763000000000005 
1150 	 1.12370053863014 	 1.6278703247507966 	  3.9086587542162294                             	 4.2338139144929761 	 7.6747007320403586 	 8.9871148877947267                             	 8.0303007040254055 	 8.5554279069379859 	 0.048160000000000001                             	 0.95184000000000002 
1200 	 1.9129832564764615 	 2.1404864079474364 	  3.9719908490457478                             	 4.2386208069833016 	 7.917831728605468 	 9.0067781121835235                             	 8.3646603969186124 	 8.5368940041223311 	 0.039239999999999997                             	 0.96075999999999995 
1250 	 2.5026998110173415 	 2.6665632898219669 	  3.9889938652112584                             	 4.2422717932711969 	 7.9817565602563647 	 9.0214492462011417                             	 8.4647750548424643 	 8.5326875978184749 	 0.037580000000000002                             	 0.96242000000000005 
1300 	 3.0163635969753071 	 3.1963657465343376 	  3.9900855717031503                             	 4.2441967874507354 	 7.9856940616588492 	 9.0290940627547158                             	 8.4803684368475754 	 8.5320675741743202 	 0.03737                             	 0.96262999999999999 
1350 	 3.5209953665510998 	 3.7267062305562342 	  3.9903292541320692                             	 4.2449837976927389 	 7.9865445774069457 	 9.0322022927206902                             	 8.4861695409290743 	 8.5318391204425534 	 0.0373                             	 0.9627 
1400 	 4.0197532374373361 	 4.2573534665650952 	  3.9898648020733547                             	 4.2453196408540901 	 7.9848388611270611 	 9.033518132644577                             	 8.4861694960982295 	 8.5318391594613825 	 0.0373                             	 0.9627 
1450 	 4.5184727280187262 	 4.7880277817228247 	  3.9896751462221127                             	 4.245449002551422 	 7.9841457230770319 	 9.0340230290171508                             	 8.4861694773388141 	 8.5318391749449507 	 0.0373                             	 0.9627 
1500 	 5.0171765962292376 	 5.3187124848929832 	  3.9895981878953943                             	 4.2454984172285117 	 7.9838655863238257 	 9.0342152430382878                             	 8.4861694696683685 	 8.5318391809304224 	 0.0373                             	 0.9627 
1550 	 5.5158741316071858 	 5.8494011498299301 	  3.9895670142382302                             	 4.2455172362654183 	 7.9837525101259788 	 9.0342882176130956                             	 8.4861694665644531 	 8.5318391832139895 	 0.0373                             	 0.9627 
